Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Potassium 40",nuclet,N0,final,N0,0,0,0,0,0,0
"Potassium 40",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"Potassium 40",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"Potassium 40",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"Potassium 40",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Potassium 40",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"Potassium 40",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Potassium 40",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"Potassium 40",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"Potassium 40",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"Potassium 40",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"Potassium 40",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"Potassium 40",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"Potassium 40",nuclet,N00,lithium,N00,144.8307,88.476,0,0,0,0
"Potassium 40",proton,N00,lithium,P1,142.09806485262,7.324586413863,-49.518337512459,80.901699437495,-50,0
"Potassium 40",proton,N00,lithium,P3,94.583761014709,90.761342377507,80.716214633125,-80.901699437495,-50,0
"Potassium 40",proton,N00,lithium,P4,95.142741745618,89.779752938833,-81.083241207169,50,0,-80.901699437495
"Potassium 40",proton,N00,lithium,P5,65.777287021998,141.3465040354,-0.59386147157771,-50,0,-80.901699437495
"Potassium 40",proton,N00,lithium,P9,153.08540058904,93.176143431657,0.00039644914850445,0,8.08,4.9945
"Potassium 40",proton,N00,lithium,P11,141.75259576186,7.9312420499614,50.479225558081,0,-80.901699437495,50
"Potassium 40",neutron,N00,lithium,U01,141.2651802318,175.4503593714,55.372513178428,-90.465874909395,49.429214386257,-4.0056930751799
"Potassium 40",nuclet,N01,initial,N01,-144.8307,88.476,0,0,0,0
"Potassium 40",proton,N01,initial,P0,-192.06373443894,94.377378420769,70.907433957414,67.9,51.8,0
"Potassium 40",proton,N01,initial,P1,-142.44328398234,11.199268210951,47.151531987434,77.1,-47.5,0
"Potassium 40",proton,N01,initial,P2,-152.18544692426,164.4050264099,-38.397143723519,-67.9,51.8,0
"Potassium 40",proton,N01,initial,P3,-97.161752798514,90.715198401851,-76.963091564848,-77.1,-47.5,0
"Potassium 40",proton,N01,initial,P4,-93.526372897747,90.353370605879,81.419248339648,49.5,0,-82.55
"Potassium 40",proton,N01,initial,P5,-64.454572721364,141.40445419148,1.7347624014123,-49.5,0,-82.55
"Potassium 40",proton,N01,initial,P6,-196.13502710225,86.598629394121,-81.419248339648,-49.5,0,82.55
"Potassium 40",proton,N01,initial,P7,-225.20682727864,35.547545808524,-1.7347624014123,49.5,0,82.55
"Potassium 40",proton,N01,initial,P8,-137.44920295649,176.0157327369,58.776706217246,0,83.7,-64.55
"Potassium 40",proton,N01,initial,P9,-240.41677812652,133.16029977907,-6.2456001829407,0,83.7,64.55
"Potassium 40",proton,N01,initial,P11,-142.42524471094,8.4912645633521,-50.365845391314,0,-80.25,50
"Potassium 40",proton,N01,initial,P12,-289.3134137628,78.539708072678,60.129884637113,95.95,87.15,88.25
"Potassium 40",proton,N01,initial,P13,-231.04066666927,5.1093611086829,92.489946301468,142.75,8.6,49.85
"Potassium 40",proton,N01,initial,P14,-151.52194285476,38.205307397576,142.70469415661,142.75,8.6,-49.85
"Potassium 40",proton,N01,initial,P15,-148.54054763181,137.12982361921,149.02560175278,95.95,87.15,-88.25
"Potassium 40",proton,N01,initial,P16,-92.18824001718,236.08641897352,-5.4335179598167,-95.95,87.15,-88.25
"Potassium 40",proton,N01,initial,P17,-67.683569618831,185.42838177826,-87.092484988505,-142.75,8.6,-49.85
"Potassium 40",proton,N01,initial,P18,-147.20229343333,152.33243548937,-137.30723284365,-142.75,8.6,49.85
"Potassium 40",proton,N01,initial,P19,-232.96110614817,177.49630342698,-94.329235075487,-95.95,87.15,88.25
"Potassium 40",neutron,N01,initial,U00,-236.73283620031,90.030913074596,144.50892570063,142.5,95,0
"Potassium 40",neutron,N01,initial,U10,-153.04129023799,236.9961536998,-84.885806545804,-142.5,95,0
