Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Carbon valence electron positions",nuclet,N0,carbon,N0,0,0,0,0,0,0
"Carbon valence electron positions",proton,N0,carbon,P0,80.901699437495,50,0,80.901699437495,50,0
"Carbon valence electron positions",proton,N0,carbon,P1,80.901699437495,-50,0,80.901699437495,-50,0
"Carbon valence electron positions",proton,N0,carbon,P2,-80.901699437495,50,0,-80.901699437495,50,0
"Carbon valence electron positions",proton,N0,carbon,P3,-80.901699437495,-50,0,-80.901699437495,-50,0
"Carbon valence electron positions",proton,N0,carbon,P4,50,0,-80.901699437495,50,0,-80.901699437495
"Carbon valence electron positions",proton,N0,carbon,P5,-50,0,-80.901699437495,-50,0,-80.901699437495
"Carbon valence electron positions",proton,N0,carbon,P6,-50,0,80.901699437495,-50,0,80.901699437495
"Carbon valence electron positions",proton,N0,carbon,P7,50,0,80.901699437495,50,0,80.901699437495
"Carbon valence electron positions",proton,N0,carbon,P8,0,80.901699437495,-50,0,80.901699437495,-50
"Carbon valence electron positions",proton,N0,carbon,P9,0,80.901699437495,50,0,80.901699437495,50
"Carbon valence electron positions",proton,N0,carbon,P10,0,-80.901699437495,-50,0,-80.901699437495,-50
"Carbon valence electron positions",proton,N0,carbon,P11,0,-80.901699437495,50,0,-80.901699437495,50
"Carbon valence electron positions",electron,N0,carbon,E01,-43.633899812498,43.633899812498,43.633899812498,-43.633899812498,43.633899812498,43.633899812498
"Carbon valence electron positions",electron,N0,carbon,E02,-43.633899812498,43.633899812498,-43.633899812498,-43.633899812498,43.633899812498,-43.633899812498
"Carbon valence electron positions",electron,N0,carbon,E03,43.633899812498,43.633899812498,43.633899812498,43.633899812498,43.633899812498,43.633899812498
"Carbon valence electron positions",electron,N0,carbon,E04,43.633899812498,43.633899812498,-43.633899812498,43.633899812498,43.633899812498,-43.633899812498
"Carbon valence electron positions",electron,N0,carbon,E05,43.633899812498,-43.633899812498,43.633899812498,43.633899812498,-43.633899812498,43.633899812498
"Carbon valence electron positions",electron,N0,carbon,E06,43.633899812498,-43.633899812498,-43.633899812498,43.633899812498,-43.633899812498,-43.633899812498
"Carbon valence electron positions",electron,N0,carbon,E07,-43.633899812498,-43.633899812498,-43.633899812498,-43.633899812498,-43.633899812498,-43.633899812498
"Carbon valence electron positions",electron,N0,carbon,E08,-43.633899812498,-43.633899812498,43.633899812498,-43.633899812498,-43.633899812498,43.633899812498
