Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Chromium 52",nuclet,N0,final,N0,0,0,0,0,0,0
"Chromium 52",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"Chromium 52",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"Chromium 52",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"Chromium 52",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Chromium 52",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"Chromium 52",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Chromium 52",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"Chromium 52",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"Chromium 52",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"Chromium 52",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"Chromium 52",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"Chromium 52",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"Chromium 52",nuclet,N00,carbon,N00,144.8307,88.476,0,0,0,0
"Chromium 52",proton,N00,carbon,P0,195.07763898529,86.190657622493,-80.716214633125,80.901699437495,50,0
"Chromium 52",proton,N00,carbon,P1,142.09806485262,7.324586413863,-49.518337512459,80.901699437495,-50,0
"Chromium 52",proton,N00,carbon,P2,147.56333514738,169.62741358614,49.518337512459,-80.901699437495,50,0
"Chromium 52",proton,N00,carbon,P3,94.583761014709,90.761342377507,80.716214633125,-80.901699437495,-50,0
"Chromium 52",proton,N00,carbon,P4,95.142741745618,89.779752938833,-81.083241207169,50,0,-80.901699437495
"Chromium 52",proton,N00,carbon,P5,65.777287021998,141.3465040354,-0.59386147157771,-50,0,-80.901699437495
"Chromium 52",proton,N00,carbon,P6,194.51865825438,87.172247061167,81.083241207169,-50,0,80.901699437495
"Chromium 52",proton,N00,carbon,P7,223.884112978,35.605495964604,0.59386147157771,50,0,80.901699437495
"Chromium 52",proton,N00,carbon,P8,147.90880423814,169.02075795004,-50.479225558081,0,80.901699437495,-50
"Chromium 52",proton,N00,carbon,P9,227.47534741802,135.53922582469,-3.5527136788005E-14,0,80.901699437495,50
"Chromium 52",proton,N00,carbon,P11,141.75259576186,7.9312420499614,50.479225558081,0,-80.901699437495,50
"Chromium 52",nuclet,N01,final,N01,-144.8307,88.476,0,0,0,0
"Chromium 52",proton,N01,final,P0,-190.0698200632,97.878760820226,65.442205073368,61.11,51.8,0
"Chromium 52",proton,N01,final,P1,-142.44328398234,11.199268210951,47.151531987434,77.1,-47.5,0
"Chromium 52",proton,N01,final,P2,-154.1793613,160.90364401044,-32.931914839472,-61.11,51.8,0
"Chromium 52",proton,N01,final,P3,-97.161752798514,90.715198401851,-76.963091564848,-77.1,-47.5,0
"Chromium 52",proton,N01,final,P4,-93.526372897747,90.353370605879,81.419248339648,49.5,0,-82.55
"Chromium 52",proton,N01,final,P5,-64.454572721364,141.40445419148,1.7347624014123,-49.5,0,-82.55
"Chromium 52",proton,N01,final,P6,-196.13502710225,86.598629394121,-81.419248339648,-49.5,0,82.55
"Chromium 52",proton,N01,final,P7,-225.20682727864,35.547545808524,-1.7347624014123,49.5,0,82.55
"Chromium 52",proton,N01,final,P8,-132.30082419798,178.15850438479,62.027821537256,0,83.7,-71.005
"Chromium 52",proton,N01,final,P9,-245.56515688502,131.01752813117,-9.4967155029501,0,83.7,71.005
"Chromium 52",proton,N01,final,P11,-142.42524471094,8.4912645633521,-50.365845391314,0,-80.25,50
"Chromium 52",nuclet,N010,beryllium,N010,-233.97970197311,83.67594293502,144.33762204589,0,0,0
"Chromium 52",proton,N010,beryllium,P1,-167.53433998356,46.674374729805,142.15766736008,64.721359549996,-40,0
"Chromium 52",proton,N010,beryllium,P3,-274.64095176872,84.413268506631,80.033862450818,-64.721359549996,-40,0
"Chromium 52",proton,N010,beryllium,P4,-155.40519661426,137.24421642768,145.59147790001,50,0,-80.901699437495
"Chromium 52",proton,N010,beryllium,P5,-238.1496047431,166.39911524255,97.598199219523,-50,0,-80.901699437495
"Chromium 52",proton,N010,beryllium,P6,-312.55420733196,30.10766944236,143.08376619176,-50,0,80.901699437495
"Chromium 52",proton,N010,beryllium,P7,-229.80979920312,0.95277062748526,191.07704487225,50,0,80.901699437495
